Type of crack,Crack length,a,b,t/b,Type of BCs,kx,ky,Omega
0,0.9,1,1,0.001,0,50,5,2.0117
0,0.9,1,1,0.001,0,50,50,2.0116
0,0.1,1,1,0.01,0,0,0,5.8648
0,0.1,1,1,0.01,0,0,0.5,3.2428
0,0.1,1,1,0.01,0,0,1,2.7942
0,0.1,1,1,0.01,0,0,5,2.4688
0,0.1,1,1,0.01,0,0,50,2.4645
0,0.1,1,1,0.01,0,0.5,0,4.0986
0,0.1,1,1,0.01,0,0.5,0.5,2.9643
0,0.1,1,1,0.01,0,0.5,1,2.6835
0,0.1,1,1,0.01,0,0.5,5,2.4673
0,0.1,1,1,0.01,0,0.5,50,2.4645
0,0.1,1,1,0.01,0,1,0,3.4788
0,0.1,1,1,0.01,0,1,0.5,2.819
0,0.1,1,1,0.01,0,1,1,2.6249
0,0.1,1,1,0.01,0,1,5,2.4666
0,0.1,1,1,0.01,0,1,50,2.4645
0,0.1,1,1,0.01,0,5,0,2.6451
0,0.1,1,1,0.01,0,5,0.5,2.5496
0,0.1,1,1,0.01,0,5,1,2.5093
0,0.1,1,1,0.01,0,5,5,2.4654
0,0.1,1,1,0.01,0,5,50,2.4645
0,0.1,1,1,0.01,0,50,0,2.4778
0,0.1,1,1,0.01,0,50,0.5,2.4722
0,0.1,1,1,0.01,0,50,1,2.4691
0,0.1,1,1,0.01,0,50,5,2.4646
0,0.1,1,1,0.01,0,50,50,2.4645
0,0.3,1,1,0.01,0,0,0,5.8161
0,0.3,1,1,0.01,0,0,0.5,3.2054
0,0.3,1,1,0.01,0,0,1,2.7628
0,0.3,1,1,0.01,0,0,5,2.4431
0,0.3,1,1,0.01,0,0,50,2.4388
0,0.3,1,1,0.01,0,0.5,0,4.0481
0,0.3,1,1,0.01,0,0.5,0.5,2.9285
0,0.3,1,1,0.01,0,0.5,1,2.6531
0,0.3,1,1,0.01,0,0.5,5,2.4416
0,0.3,1,1,0.01,0,0.5,50,2.4388
0,0.3,1,1,0.01,0,1,0,3.4335
0,0.3,1,1,0.01,0,1,0.5,2.7855
0,0.3,1,1,0.01,0,1,1,2.5957
0,0.3,1,1,0.01,0,1,5,2.4409
0,0.3,1,1,0.01,0,1,50,2.4388
0,0.3,1,1,0.01,0,5,0,2.6152
0,0.3,1,1,0.01,0,5,0.5,2.5221
0,0.3,1,1,0.01,0,5,1,2.4827
0,0.3,1,1,0.01,0,5,5,2.4397
0,0.3,1,1,0.01,0,5,50,2.4388
0,0.3,1,1,0.01,0,50,0,2.4519
0,0.3,1,1,0.01,0,50,0.5,2.4464
0,0.3,1,1,0.01,0,50,1,2.4433
0,0.3,1,1,0.01,0,50,5,2.4389
0,0.3,1,1,0.01,0,50,50,2.4388
0,0.5,1,1,0.01,0,0,0,5.5855
0,0.5,1,1,0.01,0,0,0.5,3.038
0,0.5,1,1,0.01,0,0,1,2.6194
0,0.5,1,1,0.01,0,0,5,2.3227
0,0.5,1,1,0.01,0,0,50,2.3187
0,0.5,1,1,0.01,0,0.5,0,3.8485
0,0.5,1,1,0.01,0,0.5,0.5,2.7716
0,0.5,1,1,0.01,0,0.5,1,2.5151
0,0.5,1,1,0.01,0,0.5,5,2.3213
0,0.5,1,1,0.01,0,0.5,50,2.3187
0,0.5,1,1,0.01,0,1,0,3.257
0,0.5,1,1,0.01,0,1,0.5,2.6378
0,0.5,1,1,0.01,0,1,1,2.4621
0,0.5,1,1,0.01,0,1,5,2.3207
0,0.5,1,1,0.01,0,1,50,2.3187
0,0.5,1,1,0.01,0,5,0,2.4832
0,0.5,1,1,0.01,0,5,0.5,2.3961
0,0.5,1,1,0.01,0,5,1,2.3595
0,0.5,1,1,0.01,0,5,5,2.3195
0,0.5,1,1,0.01,0,5,50,2.3187
0,0.5,1,1,0.01,0,50,0,2.3312
0,0.5,1,1,0.01,0,50,0.5,2.3259
0,0.5,1,1,0.01,0,50,1,2.323
0,0.5,1,1,0.01,0,50,5,2.3188
0,0.5,1,1,0.01,0,50,50,2.3187
0,0.7,1,1,0.01,0,0,0,5.219
0,0.7,1,1,0.01,0,0,0.5,2.7943
0,0.7,1,1,0.01,0,0,1,2.4076
0,0.7,1,1,0.01,0,0,5,2.1383
0,0.7,1,1,0.01,0,0,50,2.1347
0,0.7,1,1,0.01,0,0.5,0,3.5821
0,0.7,1,1,0.01,0,0.5,0.5,2.5495
0,0.7,1,1,0.01,0,0.5,1,2.3122
0,0.7,1,1,0.01,0,0.5,5,2.137
0,0.7,1,1,0.01,0,0.5,50,2.1347
0,0.7,1,1,0.01,0,1,0,3.0285
0,0.7,1,1,0.01,0,1,0.5,2.4284
0,0.7,1,1,0.01,0,1,1,2.2647
0,0.7,1,1,0.01,0,1,5,2.1365
